,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_wins,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_wins,pace,winner,winning_abbr
201901270OKC,55.88,22,8.68,5.2,110.88,83.48,38.2,0.5226,88.2,0.45,39.6,0.244,21.6,0.724,15.4,16.6,240,106.18,19.74,9.2,18.6,107.4,6.16,6.2,0.4144,36.6,0.3528,12.8,52.2,47.4,0.5512,13.14,14.8,51.6,0.518,26.8,28,61.32,26.4,10.82,5.6,106.18,80.26,36.2,0.5416,91.2,0.4718,43,0.2056,18.6,13.6,0,240,110.88,16.52,7.6,18,112.2,7.74,7.8,0.3378,30.6,12.6,47.8,43.8,0.5658,10.16,11.2,60.6,0.5006,30.4,0,101.24,Home,OKC
201901310TOR,55.52,22.2,8.86,5.2,106.38,84.78,39.8,0.539,86.8,0.465,40.2,0.2336,20.4,0.7378,14.8,15,240,106.68,18.74,8.4,17.6,108,7.56,7.6,0.4246,36.8,0.3508,12.8,53.44,48.2,0.5664,13.88,15.4,50,0.5502,27.4,31.4,58.22,24.2,10.34,5.2,106.68,81.26,35.2,0.5256,90.2,0.4576,41.2,0.201,18,13.2,0,240,106.38,15.22,7.2,18.2,107.8,7.54,7.6,0.3448,31,12.2,46.56,42.4,0.5504,11.2,12.4,59.2,0.4902,29,0,101.34,Away,MIL
201902020WAS,55.86,23,7.76,4.8,105.84,83.24,41.2,0.5522,87.2,0.4742,41.2,0.2482,21.8,0.7848,17,15.2,240,110.62,17.48,7.6,18,113,7.86,8,0.4206,36.6,0.373,13.6,53.44,48.8,0.5856,13.14,14.6,50.6,0.5476,27.6,33.2,57.24,24.2,11.42,5.8,110.62,82.52,34.6,0.5092,92.4,0.4524,41.8,0.2082,19.2,14,0,240,105.84,16.76,8.4,18.6,108.2,6.68,6.8,0.3354,31,10.6,46.56,43,0.5362,10.26,11.6,61.4,0.5104,31.2,0,102.18,Away,MIL
201902040BRK,59.98,24.4,7.8,4.8,101.94,80.02,41.6,0.5224,90.4,0.4488,40.4,0.2626,23.8,0.7608,18,15.4,240,108.32,20.36,9.8,19.2,112,8.16,8.4,0.4272,38.4,0.3442,13.2,51.9,51.4,0.5576,12.14,13.8,52,0.5268,27.2,34.4,57.08,22.6,13.22,7,108.32,79.64,37.2,0.4692,94.2,0.4226,39.6,0.2438,23,17.4,0,240,101.94,19.98,10.6,19.8,105.4,6.62,6.8,0.349,33,8.8,48.1,47.8,0.507,10.78,12.6,61.2,0.5054,30.8,0,103.36,Away,MIL
201902060MIL,63.02,27.2,8.7,5.4,107.66,78.58,39.8,0.554,90.8,0.4732,42.8,0.2484,22.6,0.7932,17.8,16.8,240,112.36,20.44,9,20,118,8.46,8.8,0.421,38,0.3848,14.6,52.02,48.8,0.5882,13.12,15.2,52.8,0.5376,28.2,34.2,60.56,25.8,11.96,6.4,112.36,79.56,34.4,0.5112,95,0.4508,42.6,0.2482,23.6,16.8,0,240,107.66,21.42,11,20.2,113.4,7.58,8,0.344,32.8,11.4,47.98,45.4,0.5398,11.14,13.2,62.2,0.5022,31.2,0,104.92,Home,MIL
201902090MIL,64.46,28.4,9.74,6,102,78.9,41.4,0.556,91.4,0.481,43.8,0.1996,18.2,0.824,15,20.6,240,111.92,20.6,9,19.6,116.2,8.34,8.6,0.397,36,0.3778,13.6,52.88,50.4,0.5864,12.94,14.8,55.4,0.5502,30.2,32,59,23.6,10.64,6,111.92,79.42,34,0.4722,95.2,0.4224,40,0.2328,22.2,17,0,240,102,21.1,11.2,19.2,106.4,7.64,8,0.3496,33.4,9.4,47.12,45.2,0.508,11.02,13,61.8,0.4952,30.6,0,103.64,Away,ORL
201902230MIL,65.3,30,8.68,5.2,110.4,76.92,38.6,0.5494,96,0.4802,46,0.1958,18.8,0.831,15.6,24.2,240,115.46,21.62,10,19.6,120.8,7.08,7.4,0.3518,33.6,0.3966,13.2,50.76,48.6,0.5806,11.16,13.2,62.4,0.5282,32.8,30.2,61.56,26,10.78,6.8,115.46,78.4,35.6,0.5104,95.6,0.448,42.6,0.2512,24,19,0,240,110.4,23.08,11.6,18.6,116,6.98,7.4,0.3822,36.6,11.8,49.24,47.2,0.5486,10.14,12,59,0.5234,30.8,0,104.5,Home,MIL
201902270SAC,65.3,31.2,10.64,7.2,111.56,76.62,39.8,0.5434,100.2,0.4776,47.8,0.1806,18.2,0.7834,14,24.4,245,113.72,22.7,11,19.4,122.8,5.66,6,0.3464,34.8,0.385,13.2,50.68,50.8,0.5678,10.86,13.2,65.4,0.531,34.6,32,59.86,21,10.28,6,113.72,77.32,29.6,0.5072,78.8,0.4444,34.8,0.246,19.6,16,0,197,111.56,23.38,9.2,15.4,121,6.82,6.2,0.3672,31,10.4,49.32,38.8,0.5452,9.22,9.6,47.8,0.4634,24.4,0,105.48,Away,MIL
201903020UTA,62.64,29.4,11.28,7.8,116.02,75.8,38.2,0.5412,99.2,0.4694,46.6,0.1936,19.2,0.794,15,24.8,245,113.78,23.54,11.4,19.8,122.4,5.1,5.4,0.3504,34.8,0.4108,14.2,50.42,49.6,0.5686,11.8,14.4,64.4,0.5018,32.4,33.8,55.92,20.8,9.84,5.6,113.78,76.48,29,0.5418,77.6,0.4712,37,0.2452,19.2,14.4,0,197,116.02,24.2,9.2,15.8,125.2,8.4,7.8,0.3452,28.4,11.8,49.58,38.2,0.57,9.34,9.6,49.2,0.4656,25.2,0,105.06,Home,UTA
201903040PHO,58.2,26,10.28,7.2,112.02,73.72,39.6,0.5048,99.8,0.4386,44,0.2174,21.6,0.774,16.4,21.6,245,111.4,25.16,13.4,20.2,117.6,5.6,5.8,0.3584,35.8,0.3762,13.2,49.68,53,0.5366,10.22,12.4,64,0.4758,30.8,39,54.88,18.6,12.52,7,111.4,74.86,31.6,0.4988,77.2,0.441,34,0.2574,20.2,16,0,197,112.02,26.28,11,16.4,118.4,7.68,6.8,0.329,26.8,9.4,50.32,42.6,0.5372,9.2,9.4,50.4,0.4468,24.6,0,102.98,Home,PHO
