,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_wins,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_wins,pace,winner,winning_abbr
201711220OKC,63.64,26.4,11.820000000000002,6.6,111.97999999999999,77.24000000000001,35.2,0.5277999999999999,88.6,0.47220000000000006,42.0,0.2238,19.8,0.7935999999999999,15.6,3.8,240.0,105.55999999999999,18.660000000000004,8.2,20.4,109.4,8.52,8.8,0.314,27.6,0.3572,9.8,48.239999999999995,43.4,0.5606,13.919999999999998,15.8,61.0,0.5226,32.2,9.2,62.65999999999999,26.8,9.239999999999998,5.6,105.55999999999999,81.34,35.6,0.5388000000000001,90.4,0.4768,42.8,0.27280000000000004,24.6,19.2,0.4,240.0,111.97999999999999,22.759999999999998,10.6,21.6,116.0,9.419999999999998,9.8,0.33440000000000003,30.4,11.2,51.760000000000005,46.2,0.577,13.419999999999998,15.6,60.0,0.5214000000000001,31.6,15.2,103.55999999999999,Home,OKC
201711250GSW,64.12,25.2,14.060000000000002,8.0,109.1,75.32,37.4,0.5154,86.6,0.4596,40.0,0.23600000000000004,20.4,0.7928,16.0,5.6,240.0,103.55999999999999,17.52,7.4,21.4,105.6,7.06,7.2,0.3282,28.2,0.34240000000000004,9.6,48.48,44.8,0.5508,13.86,15.4,58.4,0.5124,30.4,11.4,65.12,26.6,8.16,4.6,103.55999999999999,82.47999999999999,35.2,0.49820000000000003,92.8,0.44279999999999997,41.0,0.26680000000000004,24.8,18.6,0.4,240.0,109.1,24.68,12.0,21.8,111.0,8.86,9.0,0.3388,31.6,10.4,51.52,47.2,0.5364,11.16,13.0,61.2,0.49280000000000007,30.6,15.2,101.86,Home,GSW
201711270GSW,62.92,25.4,15.940000000000003,8.6,110.82000000000001,75.6,36.2,0.5378000000000001,84.8,0.48200000000000004,41.0,0.24820000000000003,21.0,0.777,16.2,7.2,240.0,108.2,21.4,8.8,20.8,107.6,6.62,6.6,0.29840000000000005,25.2,0.3856,9.4,50.239999999999995,45.0,0.5711999999999999,14.360000000000003,15.8,59.6,0.5224,31.6,11.0,64.72,25.8,8.32,4.8,108.2,78.6,33.0,0.5092000000000001,91.2,0.44279999999999997,40.2,0.26539999999999997,24.4,17.8,0.4,240.0,110.82000000000001,24.4,11.4,20.6,110.2,10.1,10.0,0.37920000000000004,34.4,12.0,49.760000000000005,44.4,0.5436,11.080000000000002,12.6,56.8,0.4936,28.2,15.2,99.76,Away,SAC
201711290LAL,65.67999999999999,26.4,15.3,8.2,109.55999999999999,77.0,36.2,0.5329999999999999,85.4,0.47219999999999995,40.4,0.2638,22.6,0.757,17.0,7.6,245.0,106.05999999999999,22.06,9.0,21.0,108.2,7.4,7.6,0.3116,26.6,0.4048,10.4,51.14,45.2,0.5664,15.64,17.8,58.8,0.5054000000000001,30.0,11.8,65.55999999999999,20.8,8.4,4.0,106.05999999999999,77.94,28.4,0.5104,73.2,0.48860000000000003,31.8,0.285,22.8,16.6,0.0,197.0,109.55999999999999,22.999999999999996,9.6,16.8,111.6,10.62,8.4,0.37,29.2,10.4,48.86,38.0,0.5481999999999999,11.92,10.6,44.0,0.5347999999999999,21.4,0.0,100.08,Away,GSW
201712010ORL,69.8,29.8,12.58,7.6,111.08,75.64,33.0,0.5582,85.0,0.49499999999999994,42.2,0.23759999999999998,20.2,0.8177999999999999,16.0,8.0,245.0,110.4,24.220000000000002,9.2,18.8,111.2,7.7,7.8,0.3128,26.6,0.42140000000000005,10.8,51.58,42.2,0.5917999999999999,16.44,18.6,58.4,0.5307999999999999,31.4,12.6,61.9,20.6,9.06,4.4,110.4,75.78,25.0,0.5252,73.4,0.5086,33.8,0.2404,18.6,13.8,0.0,197.0,111.08,24.36,9.6,15.6,111.8,11.1,8.8,0.3274,25.2,9.4,48.42,34.6,0.557,12.22,10.8,48.2,0.5551999999999999,24.4,0.0,98.76,Away,GSW
201712030MIA,70.08,31.8,11.94,6.8,110.22,78.86,33.4,0.5882,85.8,0.5244,45.0,0.24980000000000002,21.4,0.8012,16.6,8.2,245.0,118.94000000000001,25.7,9.2,17.6,117.6,6.380000000000001,6.4,0.3066,26.4,0.4302,11.0,54.7,42.6,0.6182000000000001,14.180000000000001,16.0,59.4,0.5704,34.0,13.6,64.4,20.8,8.5,4.2,118.94000000000001,74.3,22.2,0.524,71.6,0.49879999999999997,32.2,0.2246,16.8,13.2,0.0,197.0,110.22,21.14,8.0,14.4,109.2,9.22,6.8,0.3632,27.6,10.6,45.3,30.2,0.558,11.72,9.8,44.0,0.5399999999999999,21.6,0.0,97.08,Away,GSW
201712040NOP,71.96,34.2,10.9,6.0,109.52000000000001,78.76,33.2,0.6159999999999999,86.4,0.5468,47.2,0.257,22.2,0.8028000000000001,17.2,7.6,245.0,123.11999999999998,23.86,8.4,16.2,123.6,8.6,8.8,0.30860000000000004,26.8,0.45620000000000005,12.0,53.779999999999994,41.6,0.6436,13.9,15.8,59.6,0.591,35.2,15.2,63.67999999999999,21.4,7.720000000000001,3.8,123.11999999999998,76.14000000000001,22.8,0.5468,71.0,0.5147999999999999,33.4,0.2002,14.4,10.6,0.0,197.0,109.52000000000001,21.240000000000002,8.0,14.8,110.2,9.06,6.8,0.3788,28.8,11.8,46.220000000000006,30.8,0.572,13.7,12.2,42.2,0.5566,21.6,0.0,98.66,Away,GSW
201712060CHO,72.1,34.0,11.18,7.2,103.6,78.78,36.0,0.6065999999999999,87.4,0.5356,46.8,0.23479999999999998,20.6,0.7946,15.8,6.0,245.0,119.17999999999999,21.8,7.8,17.2,121.8,8.680000000000001,9.0,0.337,29.4,0.42379999999999995,12.4,53.58,43.8,0.6315999999999999,14.2,16.2,58.0,0.592,34.4,18.0,58.17999999999999,18.6,6.9,3.2,119.17999999999999,78.2,24.4,0.503,74.4,0.485,32.2,0.2002,15.0,11.2,0.0,197.0,103.6,21.22,9.0,14.4,106.4,8.059999999999999,6.0,0.3254,25.2,9.8,46.42,33.4,0.5322,12.960000000000003,11.8,49.2,0.5168,22.4,0.0,100.28,Away,GSW
201712110GSW,66.9,30.8,10.719999999999999,6.8,105.5,78.32,34.0,0.5858,86.2,0.5196,44.8,0.23199999999999998,20.0,0.8286,16.2,7.4,240.0,118.88,20.64,7.8,17.0,117.2,9.26,9.2,0.3368,29.0,0.39380000000000004,11.4,51.4,41.8,0.6172,12.440000000000001,13.6,57.2,0.5826,33.4,17.4,57.239999999999995,23.2,8.34,4.8,118.88,79.36,30.4,0.5172,89.0,0.45220000000000005,40.0,0.1902,16.8,12.6,0.0,240.0,105.5,21.68,9.8,17.0,104.0,7.0,7.0,0.32480000000000003,28.6,11.4,48.6,40.2,0.5429999999999999,12.959999999999999,14.4,60.4,0.48019999999999996,28.6,0.0,98.58,Home,GSW
201712180LAL,61.8,26.6,10.459999999999999,6.6,104.3,81.1,36.2,0.5378000000000001,90.0,0.475,42.4,0.24619999999999997,22.0,0.8096,17.8,7.4,245.0,113.94000000000001,21.48,9.4,19.0,113.8,8.58,8.6,0.3458,31.0,0.3586,11.2,52.0,45.6,0.5738000000000001,11.18,12.6,59.0,0.5358,31.2,18.8,58.0,19.2,9.540000000000001,4.4,113.94000000000001,78.52,26.8,0.514,71.0,0.5272,32.2,0.2286,13.6,10.4,0.0,197.0,104.3,18.9,7.2,14.8,104.4,6.88,5.2,0.32080000000000003,23.6,9.6,48.0,34.0,0.5414,12.6,12.0,47.4,0.5832,22.6,0.0,98.08,Away,GSW
